Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
26.0516, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
62.6822, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
22.1981, 2080-2099, bnu_esm, Annual Anomaly, NPL
82.4787, 2080-2099, canesm2, Annual Anomaly, NPL
74.75, 2080-2099, ccsm4, Annual Anomaly, NPL
139.908, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-41.238, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
8.41888, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
56.4066, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
25.6212, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-0.1186, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
31.21, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
16.4632, 2080-2099, miroc5, Annual Anomaly, NPL
42.4263, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
14.1274, 2080-2099, miroc_esm, Annual Anomaly, NPL
-12.472, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-9.5524, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
29.6526, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
55.6923, 2080-2099, noresm1_m, Annual Anomaly, NPL
-103.19, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
27.2178, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
431.272, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
