Sub-basin,Class,Area km2,Glacier number ,Glacier number in  %,Glacier area km2,Glacier area in %,Estimated ice reserves(km3),Estimated ice reserves(%),Mean area per glacier(km2)
Trishuli,1a,<=0.1,28,16.97,1.9,0.92,0,0.13,0.07
Trishuli,1b,0.11-0.50,83,50.3,21.7,10.46,0.6,2.9,0.26
Trishuli,2,0.51-1.00,20,12.12,13.7,6.62,0.5,2.61,0.69
Trishuli,3,1-01.5.00,28,16.97,56.6,27.27,3.2,16.71,2.02
Trishuli,4,5-01.10.00,2,1.21,13.4,6.48,1.1,5.81,6.72
Trishuli,5,>=10.01,4,2.42,100.2,48.26,13.8,71.83,25.04
Budhi Gandaki,1a,<=0.1,29,11.98,2,0.59,0,0.09,0.07
Budhi Gandaki,1b,0.11-0.50,108,44.63,27.2,7.8,0.7,2.4,0.25
Budhi Gandaki,2,0.51-1.00,44,18.18,32,9.17,1.2,4.2,0.73
Budhi Gandaki,3,1-01.5.00,46,19.01,94,26.94,5.3,18.72,2.04
Budhi Gandaki,4,5-01.10.00,7,2.89,51.2,14.66,4.4,15.42,7.31
Budhi Gandaki,5,>=10.01,8,3.31,142.4,40.84,16.9,59.17,17.81
Marsyangdi,1a,<=0.1,58,15.1,4.1,0.81,0.1,0.13,0.07
Marsyangdi,1b,0.11-0.50,172,44.79,43.9,8.63,1.1,2.78,0.26
Marsyangdi,2,0.51-1.00,51,13.28,36.7,7.2,1.4,3.42,0.72
Marsyangdi,3,1-01.5.00,83,21.61,166.5,32.71,9.5,23.7,2.01
Marsyangdi,4,5-01.10.00,8,2.08,58.6,11.51,5,12.58,7.33
Marsyangdi,5,>=10.01,12,3.13,199.2,39.13,22.9,57.38,16.6
Seti,1a,<=0.1,10,22.22,0.7,0.98,0,0.11,0.07
Seti,1b,0.11-0.50,20,44.44,4.7,6.52,0.1,1.38,0.23
Seti,2,0.51-1.00,6,13.33,4.3,5.99,0.2,1.97,0.72
Seti,3,1-01.5.00,8,17.78,18.3,25.6,1.1,13.54,2.29
Seti,4,5-01.10.00,0,0,0,0,0,0,0
Seti,5,>=10.01,1,2.22,43.6,60.91,6.7,83,43.63
Kali Gandaki,1a,<=0.1,74,14.68,4.8,0.91,0.1,0.16,0.06
Kali Gandaki,1b,0.11-0.50,246,48.81,62.1,11.76,1.6,4.02,0.25
Kali Gandaki,2,0.51-1.00,74,14.68,52.3,9.92,1.9,4.97,0.71
Kali Gandaki,3,1-01.5.00,93,18.45,187,35.46,10.6,27.28,2.01
Kali Gandaki,4,5-01.10.00,10,1.98,67.7,12.84,5.7,14.61,6.77
Kali Gandaki,5,>=10.01,7,1.39,153.5,29.11,19,48.96,21.93
